anime_id;Name;Score;Genres;Type;Premiered;Status;Studios
32593;The Snack World;UNKNOWN;Adventure, Comedy, Fantasy;Movie;;Finished Airing;OLM, OLM Digital
32595;Seisen Cerberus: Ryuukoku no Fatalités;5.59;Adventure, Fantasy;TV;2016.4;Finished Airing;Bridge
32596;The Snack World (TV);UNKNOWN;Adventure, Comedy, Fantasy;TV;2017.4;Finished Airing;OLM, OLM Digital
32598;Tsukushi no Iwai;UNKNOWN;UNKNOWN;OVA;;Finished Airing;UNKNOWN
32600;Kanojo wa Zombie;5.92;Romance;Music;;Finished Airing;Millepensee
32601;12-sai.: Chicchana Mune no Tokimeki;6.4;Romance;TV;2016.4;Finished Airing;OLM
32603;Okusama ga Seitokaichou!+!;6.59;Comedy, Romance, Ecchi;TV;2016.2;Finished Airing;Seven
32606;Onigiri;5.33;Comedy, Fantasy;TV;2016.4;Finished Airing;Pierrot Plus
32607;Gi(a)rlish Number;6.82;Slice of Life;TV;2016.2;Finished Airing;Diomedéa
32608;Endride;5.59;Adventure, Fantasy;TV;2016.4;Finished Airing;Brain's Base, Lapin Track
32609;Sinbad: Soratobu Hime to Himitsu no Shima Pilot;5.73;Adventure;Special;;Finished Airing;Nippon Animation
32613;Elsword: El-ui Yeoin;5.91;Action, Fantasy;ONA;;Finished Airing;DR Movie
32615;Youjo Senki;7.96;Action, Fantasy;TV;2017.3;Finished Airing;Nut
32618;Hietsuki Bushi;5.33;Fantasy, Sci-Fi;Music;;Finished Airing;UNKNOWN
32620;Koinaka: Koinaka de Hatsukoi x Nakadashi Sexual Life The Animation;6.99;Hentai;OVA;;Finished Airing;G-Lam
32621;Pokopon no Yukai na Saiyuuki;UNKNOWN;Adventure, Fantasy;Movie;;Finished Airing;UNKNOWN
32622;Hello Kitty no Oyayubi-hime;5.81;Adventure, Fantasy;Movie;;Finished Airing;UNKNOWN
